Company,ISIN,Market,Compartment,Country,Ticker,industry,sector,overallRisk,beta,dividendYield,fiveYearAvgDividendYield,trailingPE,forwardPE,regularMarketVolume,marketCap,currency,enterpriseValue,profitMargins,bookValue,priceToBook,trailingEps,forwardEps,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingMargins
2CRSI,FR0013341781,Euronext Growth Paris,Euronext Growth,France,AL2SI.PA,Computer Hardware,Technology,,2.803,,,222.22221,12.765931,1075822.0,447100640.0,EUR,458142912.0,0.00964,1.308,15.290521,0.09,1.56667,1146000.0,0.051,13011000.0,220856992.0,9.898,0.00319,0.07672,18393000.0,-0.0070700003
5TH PLANET GAMES,DK0060945467,Oslo Bors,Compartment C,Denmark,5PG.OL,Electronic Gaming & Multimedia,Communication Services,,0.372,,,49.4,,43944.0,265158048.0,NOK,257080448.0,0.72779,0.47999442,2.0583572,0.02,,8078000.0,0.03,0.0,4210000.0,0.016,-0.08121,0.03657,3088000.0,-1.4279699
74SOFTWARE,FR0011040500,Euronext Paris,Compartment B,France,74SW.PA,Software - Application,Technology,7,0.585,,1.92,16.882353,10.2585,2874.0,839760384.0,EUR,1094314752.0,0.064169995,17.518,1.638315,1.7,2.79768,58522000.0,2.0,312799008.0,657206976.0,23.827,0.061300002,0.097349994,158444992.0,0.08182
A.B.P. NOCIVELLI,IT0005439861,Euronext Growth Milan,Euronext Growth,Italy,ABP.MI,Oil & Gas Refining & Marketing,Energy,,0.16,1.03,,18.026316,13.169278,8500.0,208582496.0,EUR,146159056.0,0.13956,2.679,2.5569243,0.38,0.52015,62423436.0,2.05,0.0,82735896.0,2.717,0.08397,0.15034,25011016.0,0.14232999
AASEN SPAREBANK,NO0010672181,Euronext Growth Oslo,Euronext Growth,Norway,AASB.OL,Banks - Regional,Financial Services,,-0.001,6.72,6.17,11.30838,12.201931,274.0,240402736.0,NOK,562881600.0,0.41731998,461.345,0.3012496,12.29,11.39,698942016.0,404.068,1021420992.0,193032000.0,111.594,0.011619999,0.096,193032000.0,0.55712
AATECH,IT0005548521,Euronext Growth Milan,Euronext Growth,Italy,AAT.MI,Software - Infrastructure,Technology,,0.958,,,,,4500.0,9328700.0,EUR,14147616.0,-0.6432,0.693,1.3419913,-0.07,,1395771.0,0.16,6424023.0,1007545.0,0.115,-0.12663999,-0.10745,-167837.0,-0.89919996
AB SCIENCE,FR0010557264,Euronext Paris,Compartment B,France,AB.PA,Drug Manufacturers - Specialty & Generic,Healthcare,10,1.38,,,,-9.876924,76047.0,84981272.0,EUR,99496216.0,0.0,-0.411,-3.1240876,-0.15,-0.13,5034000.0,0.076,19082000.0,1027000.0,0.018,-0.14788,,932000.0,-5.29709
ABC ARBITRAGE,FR0004040608,Euronext Paris,Compartment B,France,ABCA.PA,Asset Management,Financial Services,10,0.281,6.14,6.59,9.216666,12.526333,13568.0,328675552.0,EUR,157687888.0,0.54745996,2.929,1.8880166,0.6,0.44147,172996000.0,2.905,1411000.0,65130000.0,1.097,0.102469996,0.21455999,32518000.0,0.48122
ABC COMPANY,IT0005466294,Euronext Growth Milan,Euronext Growth,Italy,ABC.MI,Asset Management,Financial Services,,2.57,,,,,7500.0,113146168.0,EUR,49381252.0,0.0,2.183,1.7407237,-0.02,,12680769.0,0.921,0.0,20000.0,0.001,-0.01826,-0.02641,-577370.0,-38.248703
ABEO,FR0013185857,Euronext Paris,Compartment C,France,ABEO.PA,Leisure,Consumer Cyclical,,0.222,3.79,,8.365385,4.5814066,2535.0,71970504.0,EUR,186448768.0,0.03004,14.434,0.6027435,1.04,1.89898,10352000.0,1.357,130447000.0,263326000.0,34.631,0.03449,0.07177,163167008.0,0.07537
ABG SUNDAL COLLIER HOLDING,NO0003021909,Oslo Bors,Compartment B,Norway,ABG.OL,Capital Markets,Financial Services,10,0.693,6.77,9.96,12.348484,,78567.0,4136506880.0,NOK,3927357184.0,0.1673,2.056,3.9640076,0.66,,721600000.0,1.422,512800000.0,2172100096.0,3.945,0.06567,0.35125,2172100096.0,0.27714002
ABIONYX PHARMA,FR0012616852,Euronext Paris,Compartment C,France,ABNX.PA,Biotechnology,Healthcare,,0.878,,,,-7.482584,94372.0,122771744.0,EUR,122302920.0,-1.06311,0.157,22.165604,-0.13,-0.46508,3375000.0,0.097,4118000.0,4326000.0,0.124,-0.20469,-0.61529,769000.0,-1.09958
ABITARE IN,IT0005445280,Euronext Milan,Compartment C,Italy,ABT.MI,Real Estate - Development,Real Estate,,,,,,5.8333335,12645.0,75150400.0,EUR,230119456.0,-0.03206,4.218,0.69701284,-0.1,0.504,4216253.0,0.165,156678864.0,70571048.0,2.761,0.01323,-0.0228,16693865.0,0.17389
ABIVAX,FR0012333284,Euronext Paris,Compartment B,France,ABVX.PA,Biotechnology,Healthcare,10,-0.42,,,,-40.91844,125514.0,8729618432.0,EUR,8076724224.0,0.0,6.569,16.806211,-4.44,-2.69805,589702976.0,7.577,73988000.0,5311000.0,0.081,-0.31671,-1.06382,5311000.0,-126.30829
ABL Diagnostics,FR001400AHX6,Euronext Paris,Compartment B,France,ABLD.PA,Health Information Services,Healthcare,,-0.97,1.47,,116.66667,,3310.0,56274420.0,EUR,58164368.0,0.07436,0.465,7.5268817,0.03,,912188.0,0.057,2677894.0,6230983.0,0.412,-0.013830001,0.06727,2037042.0,-0.02005
