Company,ISIN,Market,Compartment,Country,Ticker
2CRSI,FR0013341781,Euronext Growth Paris,Euronext Growth,France,AL2SI.PA
5TH PLANET GAMES,DK0060945467,Oslo Bors,Compartment C,Denmark,5PG.OL
74SOFTWARE,FR0011040500,Euronext Paris,Compartment B,France,74SW.PA
A.B.P. NOCIVELLI,IT0005439861,Euronext Growth Milan,Euronext Growth,Italy,ABP.MI
AASEN SPAREBANK,NO0010672181,Euronext Growth Oslo,Euronext Growth,Norway,AASB.OL
AATECH,IT0005548521,Euronext Growth Milan,Euronext Growth,Italy,AAT.MI
AB SCIENCE,FR0010557264,Euronext Paris,Compartment B,France,AB.PA
ABC ARBITRAGE,FR0004040608,Euronext Paris,Compartment B,France,ABCA.PA
ABC COMPANY,IT0005466294,Euronext Growth Milan,Euronext Growth,Italy,ABC.MI
ABEO,FR0013185857,Euronext Paris,Compartment C,France,ABEO.PA
ABG SUNDAL COLLIER HOLDING,NO0003021909,Oslo Bors,Compartment B,Norway,ABG.OL
ABIONYX PHARMA,FR0012616852,Euronext Paris,Compartment C,France,ABNX.PA
ABITARE IN,IT0005445280,Euronext Milan,Compartment C,Italy,ABT.MI
ABIVAX,FR0012333284,Euronext Paris,Compartment B,France,ABVX.PA
ABL Diagnostics,FR001400AHX6,Euronext Paris,Compartment B,France,ABLD.PA
ABL GROUP ASA,NO0010715394,Oslo Bors,Compartment C,Norway,ABL.OL
ABO GROUP ENVIRONMENT,BE0974278104,Euronext Brussels,Compartment C,Belgium,BE0974278104.SG
ACCENTIS,BE0003696102,Euronext Brussels,Compartment C,Belgium,ACCB.BR
ACE DIGITAL AS,NO0013531616,Euronext Growth Oslo,Euronext Growth,Norway,ACED.OL
Acheter-Louer.fr,FR0014011O84,Euronext Growth Paris,Euronext Growth,France,ALALO.PA
ACINQUE,IT0001382024,Euronext Milan,Compartment B,Italy,AC5.MI
ACOMO N.V.,NL0000313286,Euronext Amsterdam,Compartment B,Netherlands,ACOMO.AS
ACQUAZZURRA,IT0005443061,Euronext Growth Milan,Euronext Growth,Italy,
ACTEOS,FR0000076861,Euronext Paris,Compartment C,France,EOS.PA
ACTIA GROUP S.A.,FR0000076655,Euronext Growth Paris,Euronext Growth,France,ALATI.PA
ACTIVIUM GROUP,FR0010979377,Euronext Access Paris,Euronext Access,France,MLACT.PA
