Company,ISIN,Market,Compartment,Country,Ticker,industry,sector,overallRisk,beta,dividendYield,fiveYearAvgDividendYield,trailingPE,forwardPE,regularMarketVolume,marketCap,currency,enterpriseValue,profitMargins,bookValue,priceToBook,trailingEps,forwardEps,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingMargins
2CRSI,FR0013341781,Euronext Growth Paris,Euronext Growth,France,AL2SI.PA,Computer Hardware,Technology,,2.679,,,,30.242422,315190.0,228058960.0,EUR,232074368.0,0.03416,1.186,8.41484,-0.71,0.33,1163000.0,0.052,11053000.0,142635504.0,,,,21721750.0,0.087019995
5TH PLANET GAMES,DK0060945467,Oslo Bors,Compartment C,Denmark,5PG.OL,Electronic Gaming & Multimedia,Communication Services,,0.345,,,,,67898.0,210945904.0,NOK,201302032.0,-0.74268997,0.292,2.6917808,-0.04,,9636000.0,0.036,0.0,10198000.0,0.038,-0.03987,-0.092180006,7314000.0,-3.13636
74SOFTWARE,FR0011040500,Euronext Paris,Compartment B,France,74SW.PA,Software - Application,Technology,7.0,0.744,,1.92,22.573097,13.834381,957.0,1129582592.0,EUR,1384043776.0,0.064169995,17.518,2.2034478,1.71,,58522000.0,2.0,312799008.0,657206976.0,23.827,0.061300002,0.097349994,158444992.0,0.08182
A.B.P. NOCIVELLI,IT0005439861,Euronext Growth Milan,Euronext Growth,Italy,ABP.MI,Oil & Gas Refining & Marketing,Energy,,0.164,0.93,,17.916666,17.289907,19500.0,196402496.0,EUR,143379984.0,0.14784001,2.524,2.5554676,0.36,,53022512.0,1.741,0.0,74080440.0,2.433,0.08722,0.15147,23237680.0,0.20084
AASEN SPAREBANK,NO0010672181,Euronext Growth Oslo,Euronext Growth,Norway,AASB.OL,Banks - Regional,Financial Services,,0.14,7.48,6.17,10.109152,11.7578125,362.0,208263104.0,NOK,531375584.0,0.42369998,436.828,0.27562335,11.91,10.24,577756032.0,334.009,900867968.0,188580992.0,109.021,0.01184,0.10204001,188580992.0,0.50517
AATECH,IT0005548521,Euronext Growth Milan,Euronext Growth,Italy,AAT.MI,Software - Infrastructure,Technology,,0.954,,,44.25,,1500.0,7732563.0,EUR,11608281.0,0.09814999,0.763,1.1598951,0.02,,95111.0,0.014,4628230.0,1494574.0,0.218,-0.09166,0.02634,412637.0,-1.25495
AB SCIENCE,FR0010557264,Euronext Paris,Compartment B,France,AB.PA,Drug Manufacturers - Specialty & Generic,Healthcare,10.0,1.593,,,,-6.409524,312935.0,85749488.0,EUR,96477200.0,0.0,-0.372,-3.6182795,-0.15,-0.21,7987000.0,0.125,18471000.0,1072000.0,0.02,-0.15622,,1248000.0,-4.88477
ABC ARBITRAGE,FR0004040608,Euronext Paris,Compartment B,France,ABCA.PA,Asset Management,Financial Services,10.0,0.252,2.62,6.44,13.577779,17.970589,21304.0,367415072.0,EUR,204999760.0,0.52141,2.768,2.20737,0.45,0.34,161392000.0,2.721,4045000.0,51485000.0,0.868,0.075279996,0.16802,23671000.0,0.42929
ABC COMPANY,IT0005466294,Euronext Growth Milan,Euronext Growth,Italy,ABC.MI,Asset Management,Financial Services,,2.011,,,,,4500.0,48387764.0,EUR,42679784.0,-1.17158,2.18,1.678899,-0.02,,12621974.0,1.042,0.0,193243.0,0.016,-0.01754,-0.0106,-520765.0,-6.19073
ABEO,FR0013185857,Euronext Paris,Compartment C,France,ABEO.PA,Leisure,Consumer Cyclical,,0.733,3.42,,38.56,5.8424244,2626.0,72651576.0,EUR,164228704.0,0.0255,15.056,0.6402763,0.25,1.65,7440000.0,0.992,99408000.0,248704000.0,32.97,0.03229,0.05683,156184000.0,-0.30101
ABG SUNDAL COLLIER HOLDING,NO0003021909,Oslo Bors,Compartment B,Norway,ABG.OL,Capital Markets,Financial Services,10.0,0.756,7.14,10.01,12.280702,,49116.0,3585574912.0,NOK,3658574336.0,0.16989,1.687,4.1493773,0.57,,728899968.0,1.423,796000000.0,1820832000.0,3.517,0.04403,0.35516998,1820832000.0,0.23405
ABIONYX PHARMA,FR0012616852,Euronext Paris,Compartment C,France,ABNX.PA,Biotechnology,Healthcare,,1.037,,,,-8.609524,121172.0,63890380.0,EUR,62218168.0,-0.96265,0.217,8.331798,-0.13,-0.21,3235000.0,0.093,2757000.0,4551000.0,0.135,-0.1967,-0.5676,844000.0,-1.06072
ABITARE IN,FR0012616852,Euronext Milan,Compartment C,Italy,ABNX.MI,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIVAX,FR0012333284,Euronext Paris,Compartment B,France,ABVX.PA,Biotechnology,Healthcare,10.0,0.068,,,,-40.816326,57505.0,4534410240.0,EUR,3808110848.0,0.0,-0.104,-576.92303,-2.95,-1.47,103576000.0,1.633,106562000.0,10588000.0,0.168,-0.48599,-1.9612199,10588000.0,-48.65979
ABL Diagnostics,FR001400AHX6,Euronext Paris,Compartment B,France,ABLD.PA,Health Information Services,Healthcare,,-0.091,1.11,,450.0,,1.0,72352800.0,EUR,74536392.0,0.04859,0.465,9.67742,0.01,,529322.0,0.033,2553148.0,5869435.0,0.412,-0.022950001,0.040009998,1546272.0,-0.060599998
ABL GROUP ASA,NO0010715394,Oslo Bors,Compartment C,Norway,ABL.OL,Specialty Business Services,Industrials,,1.107,4.26,4.6,93.8,93.8,30375.0,1228583040.0,NOK,1224318080.0,0.00701,0.762,12.309711,0.1,0.1,21212000.0,0.163,26055000.0,322464992.0,2.402,0.030569999,0.02587,322464992.0,0.023670001
ABO GROUP ENVIRONMENT,BE0974278104,Euronext Brussels,Compartment C,Belgium,ABO1EUR.BR,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCENTIS,BE0003696102,Euronext Brussels,Compartment C,Belgium,ACCB.BR,Real Estate Services,Real Estate,,0.31,,,Infinity,,44105.0,34096952.0,EUR,27514058.0,0.12212,0.031,0.8709678,0.0,,18500000.0,0.015,11917000.0,6379000.0,0.005,0.04211,0.02012,4550000.0,0.61653
Acheter-Louer.fr,FR001400SOY2,Euronext Growth Paris,Euronext Growth,France,ALALO.PA,Advertising Agencies,Communication Services,,-1773.482,,,,,63631522.0,2662120.0,EUR,6255348.0,0.0,-17.587,-4.5488145e-05,-40.25,,18000.0,0.041,6290000.0,1113000.0,2.554,-1.23414,,-870000.0,-7.30418
ACINQUE,IT0001382024,Euronext Milan,Compartment B,Italy,AC5.MI,Utilities - Diversified,Utilities,,0.373,4.05,4.0,17.5,,303.0,414422368.0,EUR,,0.03596,2.559,0.820633,0.12,,108072000.0,,277279008.0,630126976.0,,0.02724,0.04384,630126976.0,0.0845
ACOMO N.V.,NL0000313286,Euronext Amsterdam,Compartment B,Netherlands,ACOMO.AS,Food Distribution,Consumer Defensive,,0.448,5.87,4.76,9.465812,12.44382,20656.0,662123264.0,EUR,955037184.0,0.04776,13.992,1.5830475,2.34,1.78,3047000.0,0.103,299681984.0,1453065984.0,48.856,0.08392999,0.16851,236240992.0,0.08351
ACQUAZZURRA,IT0005443061,Euronext Growth Milan,Euronext Growth,Italy,ACQ.MI,Advertising Agencies,Communication Services,,0.063,0.4,,,,15000.0,27126750.0,EUR,,-0.036960002,1.712,6.1331778,-0.24,,33408.0,,1107977.0,16799924.0,,-0.04282,-0.14061,-50733.0,-0.072859995
ACTEOS,FR0000076861,Euronext Paris,Compartment C,France,EOS.PA,Software - Application,Technology,,1.173,,,,,2705.0,4049740.0,EUR,6424603.0,-0.0956,-0.581,-2.0740106,-0.38,,1537615.0,0.463,3918363.0,13044017.0,3.93,-0.03206,,8093440.0,-0.02974
ACTIA GROUP S.A.,FR0000076655,Euronext Growth Paris,Euronext Growth,France,ALATI.PA,Auto Parts,Consumer Cyclical,,1.099,3.5,2.15,4.9710145,5.4444447,14464.0,68874744.0,EUR,224446976.0,0.02604,7.342,0.46717516,0.69,0.63,71024000.0,3.537,221139008.0,535124000.0,26.628,-0.00598,0.12355,266934000.0,-0.10424
ACTIVIUM GROUP,FR0010979377,Euronext Access Paris,Euronext Access,France,MLACT.PA,Computer Hardware,Technology,,1.528647,,,,,75.0,6214481.0,EUR,,0.05669,,,,,,,,1905000.0,,,,1905000.0,0.0
ADEC INNOVATIONS,NL0015002K91,Euronext Access Brussels,Euronext Access,Netherlands,MLADE.BR,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEUNIS,FR0013284627,Euronext Growth Paris,Euronext Growth,France,ALARF.PA,Communication Equipment,Technology,,0.283,,,,,2135.0,2734343.0,EUR,2144766.0,-0.15849,0.1,5.8999996,-0.59,,936000.0,0.412,1741000.0,6031998.0,2.625,,,1934666.0,-0.08981
ADOCIA,FR0011184241,Euronext Paris,Compartment C,France,ADOC.PA,Biotechnology,Healthcare,10.0,0.312,,,,-7.398496,1282553.0,184190048.0,EUR,181821392.0,-0.76881,-0.198,-49.69697,-1.0,-1.33,7533000.0,0.418,11830000.0,12124000.0,0.819,-0.17807,,-6531000.0,0.08137
ADOMOS,FR001400UT31,Euronext Growth Paris,Euronext Growth,France,ALADO.PA,Real Estate Services,Real Estate,,0.028,,,,,12523282.0,2034.0,EUR,3048011.0,0.0,1.213,0.007749381,-85.95,,664000.0,0.087,3636000.0,1190000.0,0.155,-0.18732001,-0.48041,1190000.0,-0.85333997
ADS MARITIME HOLDING PLC,CY0108052115,Euronext Growth Oslo,Euronext Growth,Cyprus,ADS.OL,Marine Shipping,Industrials,,-0.383,,,43.600002,,10900.0,154800496.0,NOK,151386384.0,3.72947,0.3,7.2666664,0.05,,3685000.0,0.052,271000.0,207000.0,0.003,-0.020299999,0.03714,-298000.0,-7.82353
ADUX,FR0012821890,Euronext Growth Paris,Euronext Growth,France,HJMA.PA,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVENTURE,IT0005607715,Euronext Growth Milan,Euronext Growth,Italy,ADV.MI,Software - Application,Technology,,,,,1545.0,64.375,8500.0,110737408.0,EUR,109970000.0,0.00561,0.64,24.140625,0.01,,2311000.0,0.33,4131000.0,11221000.0,1.603,0.026180001,0.02319,3668000.0,-0.07395
ADVICENNE,FR0013296746,Euronext Growth Paris,Euronext Growth,France,ALDVI.PA,Biotechnology,Healthcare,,1.28,,,,-23.88,31943.0,16908832.0,EUR,29591750.0,-1.22703,-1.554,-0.76833975,-0.81,-0.05,3248000.0,0.265,18187000.0,5268000.0,0.429,-0.51716,,-881000.0,-1.21778
